Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Source pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.654157332	30185.01172	2.075635195	98532.11719	0.021309432	59119.27031	98532.11719	59119.27031	54119.27031	306.75	176.4279391	33589.40448
0.654214931	30466.04102	2.185441971	98405.4375	0.021219276	59043.2625	98405.4375	59043.2625	54043.2625	306.75	176.1801548	35112.88707
0.654273138	31225.6875	2.299096108	98309.28125	0.021413157	58985.56875	98309.28125	58985.56875	53985.56875	306.75	175.9920742	36634.69224
0.654330729	31188.23047	2.407224178	98185.64063	0.021479202	58911.38438	98185.64063	58911.38438	53911.38438	306.75	175.7502343	38181.8894
0.654388563	31032.93164	2.514167786	98080.75781	0.02132775	58848.45469	98080.75781	58848.45469	53848.45469	306.75	175.5450846	39714.67081
0.65444643	31067.25195	2.623667717	97940.44531	0.021388529	58764.26719	97940.44531	58764.26719	53764.26719	306.75	175.2706347	41248.27102
0.654504417	30982.60547	2.733058453	97834.76563	0.021486385	58700.85938	97834.76563	58700.85938	53700.85938	306.75	175.0639262	42785.20356
0.65456241	31153.37695	2.840950728	97734.71875	0.02156785	58640.83125	97734.71875	58640.83125	53640.83125	306.75	174.8682355	44325.28193
0.654620026	31084.62109	2.945552349	97862.88281	0.021434834	58717.72969	97862.88281	58717.72969	53717.72969	306.75	175.1189232	45849.2064
0.654677815	31033.36914	3.051614523	98561.32031	0.021264457	59136.79219	98561.32031	59136.79219	54136.79219	306.75	176.4850601	47380.80111
0.654735913	31243.07422	3.149492979	99383.63281	0.021129271	59630.17969	99383.63281	59630.17969	54630.17969	306.75	178.0934953	48923.65217
0.65479386	31308.21289	3.253500462	100219.875	0.02102654	60131.925	100219.875	60131.925	55131.925	306.75	179.7291769	50456.3815
0.654851567	31439.9082	3.353853941	100965.7813	0.020940071	60579.46875	100965.7813	60579.46875	55579.46875	306.75	181.1881622	51986.11083
0.654909561	31172.07227	3.449641466	101671.3906	0.020687203	61002.83438	101671.3906	61002.83438	56002.83438	306.75	182.5683272	53522.81607
0.65496715	31338.65625	3.551843643	101967.9609	0.020682265	61180.77656	101967.9609	61180.77656	56180.77656	306.75	183.1484159	55049.11596
0.655025389	31253.66602	3.649350882	101787.7969	0.020738178	61072.67813	101787.7969	61072.67813	56072.67813	306.75	182.7960167	56595.69982
0.655083339	31378.46289	3.745613337	101646.1797	0.020850824	60987.70781	101646.1797	60987.70781	55987.70781	306.75	182.5190149	58115.60743
0.655140509	31333.28711	3.830489874	101484.0391	0.020730452	60890.42344	101484.0391	60890.42344	55890.42344	306.75	182.2018694	59644.01858
0.655198881	31720.5957	3.927130938	101338.4531	0.020852779	60803.07188	101338.4531	60803.07188	55803.07188	306.75	181.9171047	60803.07188
0.655256573	31500.7207	4.017662048	101193.0469	0.020977544	60715.82813	101193.0469	60715.82813	55715.82813	306.75	181.6326915	60715.82813
0.655314581	31418.45898	4.116885662	101050.6953	0.02086589	60630.41719	101050.6953	60630.41719	55630.41719	306.75	181.3542533	60630.41719
0.655372428	31553.78125	4.205102921	100894.3438	0.020913486	60536.60625	100894.3438	60536.60625	55536.60625	306.75	181.0484311	60536.60625
0.655430054	31291.48633	4.293064117	100775.0625	0.020984828	60465.0375	100775.0625	60465.0375	55465.0375	306.75	180.8151182	60465.0375
0.655488291	31023.73242	4.37574625	100636.4844	0.020890052	60381.89063	100636.4844	60381.89063	55381.89063	306.75	180.5440607	60381.89063
0.655546073	30991.67188	4.455869198	100520.9063	0.020997544	60312.54375	100520.9063	60312.54375	55312.54375	306.75	180.317991	60312.54375
0.655603974	30881.10938	4.548210144	100382.1406	0.021027955	60229.28438	100382.1406	60229.28438	55229.28438	306.75	180.0465668	60229.28438
0.655661861	30996.68359	4.634050369	100250.0547	0.020930522	60150.03281	100250.0547	60150.03281	55150.03281	306.75	179.788208	60150.03281
0.655719355	31100.00195	4.714748859	100129.1563	0.020989949	60077.49375	100129.1563	60077.49375	55077.49375	306.75	179.5517319	60077.49375
0.655777642	30874.95117	4.794095993	100000.3125	0.021068256	60000.1875	100000.3125	60000.1875	55000.1875	306.75	179.2997148	60000.1875
0.655835632	30862.34375	4.874901772	99849.14063	0.021116699	59909.48438	99849.14063	59909.48438	54909.48438	306.75	179.004024	59909.48438
0.655893365	30768.2793	4.952626228	99721.625	0.021109239	59832.975	99721.625	59832.975	54832.975	306.75	178.7546047	59832.975
0.655951252	30883.37891	5.008210182	99590.92188	0.021138234	59754.55313	99590.92188	59754.55313	54754.55313	306.75	178.4989507	59754.55313
0.656009142	31045.25195	5.050829411	99439.46875	0.02110935	59663.68125	99439.46875	59663.68125	54663.68125	306.75	178.2027099	59663.68125
0.656066676	31107.28711	5.114876747	99306	0.021120026	59583.6	99306	59583.6	54583.6	306.75	177.9416463	59583.6
0.656124573	31050.30273	5.181588173	99158.58594	0.021143825	59495.15156	99158.58594	59495.15156	54495.15156	306.75	177.6533058	59495.15156
