Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Source pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.625620969	42617.16797	2.741135836	97503.69531	0.061243318	58502.21719	97503.69531	58502.21719	53502.21719	1104.3	48.44898776	23338.99622
0.625678988	41895.03516	3.1402421	97510.76563	0.060337916	58506.45938	97510.76563	58506.45938	53506.45938	1104.3	48.45282928	28885.72215
0.625736699	42538.93359	3.385768414	97558.30469	0.061670432	58534.98281	97558.30469	58534.98281	53534.98281	1104.3	48.47865871	34381.83509
0.62579376	43489.76953	3.579182863	97532.49219	0.061577347	58519.49531	97532.49219	58519.49531	53519.49531	1104.3	48.46463399	39825.35726
0.625852655	43620.69531	3.731465101	97531.94531	0.061862876	58519.16719	97531.94531	58519.16719	53519.16719	1104.3	48.46433685	45455.56105
0.625910327	44203.80469	3.884542704	97518.26563	0.061767002	58510.95938	97518.26563	58510.95938	53510.95938	1104.3	48.46433685	50947.18234
0.6259681	44084.1875	4.062962055	97551.01563	0.061833688	58530.60938	97551.01563	58530.60938	53530.60938	1104.3	48.47469834	56478.14277
0.626025522	43533.61328	4.200064182	97579.59375	0.061466407	58547.75625	97579.59375	58547.75625	53547.75625	1104.3	48.47469834	58530.60938
0.626084094	42985.82813	4.314018726	97590.91406	0.060733853	58554.54844	97590.91406	58554.54844	53554.54844	1104.3	48.49022571	58547.75625
0.626141931	43210.72656	4.45679903	97612.98438	0.0612927	58567.79063	97612.98438	58554.54844	53554.54844	1104.3	48.49637638	58554.54844
