Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Source pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.624813916	35284.29688	2.024700642	97096.59375	0.03097523	58257.95625	97096.59375	58257.95625	53257.95625	552.15	96.45559404	48926.45929
0.624871867	37464.5	2.16193676	97124.74219	0.031588044	58274.84531	97124.74219	58274.84531	53274.84531	552.15	96.48618186	51685.48977
0.62492968	38964.36328	2.275119066	97129.49219	0.03149185	58277.69531	97129.49219	58277.69531	53277.69531	552.15	96.4913435	54449.093
0.624987632	36904.38672	2.403631449	97162.03906	0.030972511	58297.22344	97162.03906	58297.22344	53297.22344	552.15	96.52671093	57212.64304
0.625045499	35326.96484	2.558004618	97183.67188	0.030973959	58310.20313	97183.67188	58310.20313	53310.20313	552.15	96.55021846	58310.20313
0.625103383	37289.22656	2.703897476	97246.0625	0.031495752	58347.6375	97246.0625	58347.6375	53347.6375	552.15	96.61801594	58347.6375
0.625161201	39447.79688	2.842924833	97286.73438	0.031717702	58372.04063	97286.73438	58372.04063	53372.04063	552.15	96.66221249	58372.04063
0.625219117	37989.58594	2.937987328	97309.84375	0.031126267	58385.90625	97309.84375	58385.90625	53385.90625	552.15	96.68732455	58385.90625
0.625276975	35696.125	3.047555447	97361.9375	0.030711292	58417.1625	97361.9375	58417.1625	53417.1625	552.15	96.74393281	58417.1625
0.625334796	36689.22266	3.15925622	97417.375	0.031353205	58450.425	97417.375	58450.425	53450.425	552.15	96.80417459	58450.425
0.625392712	39115.17188	3.241280079	97436.83594	0.031765716	58462.10156	97436.83594	58462.10156	53462.10156	552.15	96.82532204	58462.10156
0.625450593	38701.80469	3.308682203	97477.96094	0.031221023	58486.77656	97477.96094	58486.77656	53486.77656	552.15	96.87001098	58486.77656
0.625508483	37538.06641	3.399215698	97509.3125	0.031463194	58505.5875	97509.3125	58505.5875	53505.5875	552.15	96.90407951	58505.5875
0.625566229	39457.77734	3.560862064	97497.64844	0.031707919	58498.58906	97497.64844	58498.58906	53498.58906	552.15	96.89140462	58498.58906
0.625624138	38322.15234	3.676712036	97503.69531	0.031127129	58502.21719	97503.69531	58502.21719	53502.21719	552.15	96.89797553	58502.21719
0.62568208	36238.03906	3.762015343	97510.76563	0.030815173	58506.45938	97510.76563	58506.45938	53506.45938	552.15	96.90565856	58506.45938
0.625739948	36220.4375	3.879034996	97558.30469	0.031121339	58534.98281	97558.30469	58534.98281	53534.98281	552.15	96.95731742	58534.98281
0.625797746	38277.86719	3.978014708	97532.49219	0.031545935	58519.49531	97532.49219	58519.49531	53519.49531	552.15	96.92926798	58519.49531
0.625855627	39885.20313	4.065459251	97531.94531	0.031767958	58519.16719	97531.94531	58519.16719	53519.16719	552.15	96.92867371	58519.16719
0.625913559	38240.92578	4.166514874	97518.26563	0.031108398	58510.95938	97518.26563	58510.95938	53510.95938	552.15	96.91380852	58510.95938
0.625971362	36416.6875	4.245246887	97551.01563	0.031074048	58530.60938	97551.01563	58530.60938	53530.60938	552.15	96.94939668	58530.60938
0.626029273	38306.16797	4.377823353	97579.59375	0.031599577	58547.75625	97579.59375	58547.75625	53547.75625	552.15	96.98045142	58547.75625
0.626087067	39988.4375	4.503570557	97590.91406	0.031799081	58554.54844	97590.91406	58554.54844	53554.54844	552.15	96.99275276	58554.54844
0.626144957	39170.40234	4.631241322	97612.98438	0.03128851	58567.79063	97612.98438	58567.79063	53567.79063	552.15	97.01673571	58567.79063
0.626202901	36886.84766	4.733213425	97638	0.030927324	58582.8	97638	58582.8	53582.8	552.15	97.04391922	58582.8
0.626260782	36498.53125	4.830514431	97676.875	0.031208222	58606.125	97676.875	58606.125	53606.125	552.15	97.08616318	58606.125
0.626318584	38876.75391	4.911371708	97714.83594	0.031591331	58628.90156	97714.83594	58628.90156	53628.90156	552.15	97.12741386	58628.90156
0.626376522	39888.66797	4.963430882	97749.34375	0.031491964	58649.60625	97749.34375	58649.60625	53649.60625	552.15	97.16491216	58649.60625
0.626434378	37663.53125	5.033340931	97805.78125	0.030914002	58683.46875	97805.78125	58683.46875	53683.46875	552.15	97.2262406	58683.46875
0.626492264	36396.27344	5.093460083	97858.17969	0.031070737	58714.90781	97858.17969	58714.90781	53714.90781	552.15	97.28317996	58714.90781
0.626550079	38668.76563	5.164302826	97928.64063	0.031544575	58757.18438	97928.64063	58757.18438	53757.18438	552.15	97.35974712	58757.18438
0.626607913	40313.59766	5.212578297	97990.44531	0.031783437	58794.26719	97990.44531	58794.26719	53794.26719	552.15	97.42690788	58794.26719
0.626665821	39432.46875	5.244452	98020.27344	0.031220216	58812.16406	98020.27344	58812.16406	53812.16406	552.15	97.45932095	58812.16406
0.626723672	36998.51172	5.371351719	98097.3125	0.030818789	58858.3875	98097.3125	58858.3875	53858.3875	552.15	97.54303631	58858.3875
0.626781587	37897.38672	5.464299202	98172.78906	0.031330539	58903.67344	98172.78906	58903.67344	53903.67344	552.15	97.62505377	58903.67344
0.626839494	39996.49219	5.54836607	98211.49219	0.031658901	58926.89531	98211.49219	58926.89531	53926.89531	552.15	97.66711095	58926.89531
0.626897357	40198.65625	5.646291733	98275.01563	0.031306699	58965.00938	98275.01563	58965.00938	53965.00938	552.15	97.73613941	58965.00938
0.626955167	37763.65625	5.748950005	98324.1875	0.030817755	58994.5125	98324.1875	58994.5125	53994.5125	552.15	97.78957258	58994.5125
0.627013072	38085.05859	5.828454971	98363.33594	0.031282905	59018.00156	98363.33594	59018.00156	54018.00156	552.15	97.83211367	59018.00156
0.62707099	40616.48047	5.904921055	98377.44531	0.031662568	59026.46719	98377.44531	59026.46719	54026.46719	552.15	97.84744578	59026.46719
0.627128779	39270.21484	5.954421043	98420.32813	0.031095137	59052.19688	98420.32813	59052.19688	54052.19688	552.15	97.89404487	59052.19688
