Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Source pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.638471472	45192.09375	2.147892475	97250.92188	0.121477979	58350.55313	97250.92188	58350.55313	53350.55313	2024.55	26.35180812	58350.55313
0.638529349	45041.57031	2.396024227	97047.04688	0.121602019	58228.22813	97047.04688	58228.22813	53228.22813	2024.55	26.29138728	58228.22813
0.63858714	44354.15625	2.657461882	96865.63281	0.12128999	58119.37969	96865.63281	58119.37969	53119.37969	2024.55	26.23762302	58119.37969
0.638645113	44415.01563	2.854689121	96880.75	0.121373048	58128.45	96880.75	58128.45	53128.45	2024.55	26.24210318	58128.45
0.638702935	44508.96484	3.059454918	96899.92188	0.12138294	58139.95313	96899.92188	58139.95313	53139.95313	2024.55	26.247785	58139.95313
0.638760859	44551.20313	3.309367657	96879.82813	0.121537322	58127.89688	96879.82813	58127.89688	53127.89688	2024.55	26.24182997	58127.89688
0.638818701	44874.05078	3.485917091	96945.99219	0.121791108	58167.59531	96945.99219	58167.59531	53167.59531	2024.55	26.2614385	58167.59531
0.638876593	45197.32031	3.622378349	97875.50781	0.120877933	58725.30469	97875.50781	58725.30469	53725.30469	2024.55	26.53691175	58725.30469
0.638934416	45507.95313	3.720396757	98964.00781	0.119638793	59378.40469	98964.00781	59378.40469	54378.40469	2024.55	26.85950196	59378.40469
0.638992273	45565.90234	3.874865532	100128.3672	0.118242951	60077.02031	100128.3672	60077.02031	55077.02031	2024.55	27.20457401	60077.02031
0.639050137	45800.17969	4.065741539	101146.6406	0.117154554	60687.98438	101146.6406	60687.98438	55687.98438	2024.55	27.50635172	60687.98438
0.63910808	45984.25391	4.301855087	101334.75	0.117329418	60800.85	101334.75	60800.85	55800.85	2024.55	27.56210022	60800.85
0.639165839	46284.04688	4.474895001	101159.8438	0.117722558	60695.90625	101159.8438	60695.90625	55695.90625	2024.55	27.51026463	60695.90625
0.639223783	46475.08594	4.609059811	100985.0313	0.118085783	60591.01875	100985.0313	60591.01875	55591.01875	2024.55	27.45845682	60591.01875
0.639281603	46559.30078	4.702667713	100792.4063	0.118441165	60475.44375	100792.4063	60475.44375	55475.44375	2024.55	27.40137006	60475.44375
0.639339563	46733.53516	4.906516552	100596.5547	0.118855492	60357.93281	100596.5547	60357.93281	55357.93281	2024.55	27.34332707	60357.93281
0.63939739	46797.32031	5.098249435	100404.3281	0.119122854	60242.59688	100404.3281	60242.59688	55242.59688	2024.55	27.28635839	60242.59688
0.639455276	46811.67578	5.196369171	100223.6406	0.119127141	60134.18438	100223.6406	60134.18438	55134.18438	2024.55	27.23280945	60134.18438
0.639513139	46960.09766	5.316698551	100029.3516	0.119444685	60017.61094	100029.3516	60017.61094	55017.61094	2024.55	27.17522953	60017.61094
0.639571048	46847.97656	5.445708752	99849.58594	0.119610855	59909.75156	99849.58594	59909.75156	54909.75156	2024.55	27.1219538	59909.75156
