Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Source pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.627435434	40214.49219	2.018069506	98590.20313	0.034253836	59154.12188	98590.20313	59154.12188	54154.12188	490.8	110.3384716	59154.12188
0.627493616	40144.36719	2.123620987	98584.82031	0.034380061	59150.89219	98584.82031	59150.89219	54150.89219	490.8	110.3318912	59150.89219
0.627551167	40436.84766	2.223437071	98556.54688	0.034673375	59133.92813	98556.54688	59133.92813	54133.92813	490.8	110.2973271	59133.92813
0.627609015	40713.55859	2.319235802	98507.61719	0.034434651	59104.57031	98507.61719	59104.57031	54104.57031	490.8	110.2375108	59104.57031
0.627667075	40910.05469	2.406904459	98475.60938	0.034510606	59085.36563	98475.60938	59085.36563	54085.36563	490.8	110.1983815	59085.36563
0.627725344	40884.67188	2.495904923	98437.59375	0.034508362	59062.55625	98437.59375	59062.55625	54062.55625	490.8	110.1519076	59062.55625
0.62778281	40770.90234	2.579392433	98373.05469	0.034542167	59023.83281	98373.05469	59023.83281	54023.83281	490.8	110.073009	59023.83281
0.627841341	40665.16016	2.687682867	98261.72656	0.034587762	58957.03594	98261.72656	58957.03594	53957.03594	490.8	109.936911	58957.03594
0.62789838	40667.57422	2.792230368	98202.98438	0.034595734	58921.79063	98202.98438	58921.79063	53921.79063	490.8	109.8650991	58921.79063
0.627956611	40747.16797	2.89591074	98151.11719	0.034700931	58890.67031	98151.11719	58890.67031	53890.67031	490.8	109.8016918	58890.67031
0.628014718	40984.85547	2.993365049	98090.4375	0.034737464	58854.2625	98090.4375	58854.2625	53854.2625	490.8	109.7275112	58854.2625
0.628072371	40986.73047	3.081027031	98029.96875	0.034855099	58817.98125	98029.96875	58817.98125	53817.98125	490.8	109.6535885	58817.98125
0.62813026	40876.49609	3.17794013	97994.02344	0.034757914	58796.41406	97994.02344	58796.41406	53796.41406	490.8	109.6096456	58796.41406
0.628187955	41109.37891	3.268626213	97968.92969	0.034972299	58781.35781	97968.92969	58781.35781	53781.35781	490.8	109.5789686	58781.35781
0.628245847	41315.53516	3.350791931	97948.99219	0.034874849	58769.39531	97948.99219	58769.39531	53769.39531	490.8	109.5545952	58769.39531
0.628303849	41611.97656	3.436911345	97920.1875	0.035160624	58752.1125	97920.1875	58752.1125	53752.1125	490.8	109.5193816	58752.1125
0.628361992	41993.16016	3.522601843	97867.66406	0.035041808	58720.59844	97867.66406	58720.59844	53720.59844	490.8	109.455172	58720.59844
0.628419456	43521.23047	3.605125666	97861.1875	0.035689411	58716.7125	97861.1875	58716.7125	53716.7125	490.8	109.4472545	58716.7125
0.628477726	43839.61328	3.692822933	97810.40625	0.035470736	58686.24375	97810.40625	58686.24375	53686.24375	490.8	109.3851747	58686.24375
0.628535393	43647.5	3.778284073	97793.4375	0.035496114	58676.0625	97793.4375	58676.0625	53676.0625	490.8	109.3644305	58676.0625
0.628593101	43710.01172	3.8521173	97775.20313	0.035917373	58665.12188	97775.20313	58665.12188	53665.12188	490.8	109.3421391	58665.12188
0.628651249	43598.5625	3.953837633	97751.69531	0.035486661	58651.01719	97751.69531	58651.01719	53651.01719	490.8	109.313401	58651.01719
0.628709213	43217.76172	4.06942749	97794.25781	0.035622726	58676.55469	97794.25781	58676.55469	53676.55469	490.8	109.3654333	58676.55469
0.628763803	43682.30469	4.130115032	97816.65625	0.035553676	58689.99375	97816.65625	58689.99375	53689.99375	490.8	109.3928153	58689.99375
0.628823882	42691.59766	4.192768574	97839.65625	0.035003565	58703.79375	97839.65625	58703.79375	53703.79375	490.8	109.4209327	58703.79375
0.628876436	41391.78906	4.268994808	97839.65625	0.034860261	58703.79375	97839.65625	58703.79375	53703.79375	490.8	109.4209327	58703.79375
0.628940188	40871.91016	4.337053299	97858.69531	0.03483571	58715.21719	97858.69531	58715.21719	53715.21719	490.8	109.4442078	58715.21719
0.628998373	40156.16797	4.387922764	97881.25	0.034561744	58728.75	97881.25	58728.75	53728.75	490.8	109.4717808	58728.75
0.629055809	39562.01953	4.460722923	97899.9375	0.034294378	58739.9625	97899.9375	58739.9625	53739.9625	490.8	109.4946261	58739.9625
0.629113957	39591.1875	4.546315193	97907.11719	0.034552837	58744.27031	97907.11719	58744.27031	53744.27031	490.8	109.5034032	58744.27031
0.629172215	40129.72656	4.61363554	97899.92188	0.03485692	58739.95313	97899.92188	58739.95313	53739.95313	490.8	109.494607	58739.95313
0.629229691	41275.71484	4.6729846	97880.66406	0.034857852	58728.39844	97880.66406	58728.39844	53728.39844	490.8	109.4710645	58728.39844
0.629288086	43118.51172	4.733658791	97861.33594	0.035572152	58716.80156	97861.33594	58716.80156	53716.80156	490.8	109.4474359	58716.80156
0.62934577	43695.22656	4.785287857	97826.6875	0.035623019	58696.0125	97826.6875	58696.0125	53696.0125	490.8	109.4050784	58696.0125
