Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Source pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.641324008	32241.66602	2.116669893	100976.7422	0.048468554	60586.04531	100976.7422	60586.04531	55586.04531	981.6	56.62800052	53890.85419
0.641381803	32379.68164	2.386567116	101525.0625	0.048259823	60915.0375	101525.0625	60915.0375	55915.0375	981.6	56.96315964	58794.5555
0.641439726	32206.03906	2.646945477	101950.9922	0.047969829	61170.59531	101950.9922	61170.59531	56170.59531	981.6	57.22350786	61170.59531
0.64149754	32588.03516	2.90426445	101800.8125	0.048102188	61080.4875	101800.8125	61080.4875	56080.4875	981.6	57.13171098	61080.4875
0.641555427	32606.77539	3.155940771	101612.3359	0.048346238	60967.40156	101612.3359	60967.40156	55967.40156	981.6	57.01650526	60967.40156
0.64161331	32816.87891	3.400678635	101477.2891	0.048191804	60886.37344	101477.2891	60886.37344	55886.37344	981.6	56.93395827	60886.37344
0.64167115	31404.5957	3.632264614	101351.7109	0.048098836	60811.02656	101351.7109	60811.02656	55811.02656	981.6	56.85719902	60811.02656
0.641729106	31631.36133	3.845070362	101243.5625	0.048195461	60746.1375	101243.5625	60746.1375	55746.1375	981.6	56.79109362	60746.1375
0.6417869	31546.14063	4.058986664	101101.5	0.048150276	60660.9	101101.5	60660.9	55660.9	981.6	56.70425835	60660.9
0.641844824	31642.74805	4.264271259	100965.8516	0.048213892	60579.51094	100965.8516	60579.51094	55579.51094	981.6	56.62134366	60579.51094
0.641902727	31494.34961	4.458918095	100793.3203	0.048190355	60475.99219	100793.3203	60475.99219	55475.99219	981.6	56.51588446	60475.99219
0.641960524	31377.55078	4.64219141	100608.375	0.048284744	60365.025	100608.375	60365.025	55365.025	981.6	56.4028372	60365.025
0.642018444	31344.48438	4.813325882	100435.3047	0.048402452	60261.18281	100435.3047	60261.18281	55261.18281	981.6	56.29704851	60261.18281
0.642076248	31286.03711	4.971060276	100239.3984	0.048390482	60143.63906	100239.3984	60143.63906	55143.63906	981.6	56.17730141	60143.63906
