Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Source pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.639704365	36208.51563	2.18495059	99627.44531	0.082401913	59776.46719	99627.44531	59776.46719	54776.46719	1227	44.64259754	59776.46719
0.639762787	35662.28516	2.413114309	99520.24219	0.082234878	59712.14531	99520.24219	59712.14531	54712.14531	1227	44.59017548	59712.14531
0.639820602	36893.96484	2.638833761	99411.85156	0.082871207	59647.11094	99411.85156	59647.11094	54647.11094	1227	44.53717273	59647.11094
0.639878039	36555.03125	2.854125738	99274.625	0.083025556	59564.775	99274.625	59564.775	54564.775	1227	44.47006927	59564.775
0.639935944	36689.11719	3.067626715	99206.07031	0.083099319	59523.64219	99206.07031	59523.64219	54523.64219	1227	44.4365462	59523.64219
0.639994175	36244.18359	3.27665782	99050.78906	0.082797965	59430.47344	99050.78906	59430.47344	54430.47344	1227	44.36061405	59430.47344
0.640051404	36337.10938	3.475710869	98962.20313	0.083531812	59377.32188	98962.20313	59377.32188	54377.32188	1227	44.31729574	59377.32188
0.640109648	36662.34766	3.671284437	98860.67188	0.08391828	59316.40313	98860.67188	59316.40313	54316.40313	1227	44.26764721	59316.40313
0.64016743	36757.80078	3.838839531	98749.67188	0.083865082	59249.80313	98749.67188	59249.80313	54249.80313	1227	44.21336848	59249.80313
0.640225267	37539.57422	4.008357048	98630.64844	0.084885923	59178.38906	98630.64844	59178.38906	54178.38906	1227	44.15516631	59178.38906
0.640283323	37965.66406	4.19306612	98547.08594	0.08441618	59128.25156	98547.08594	59128.25156	54128.25156	1227	44.11430445	59128.25156
0.640341062	38917.98438	4.369112015	98450.24219	0.085707463	59070.14531	98450.24219	59070.14531	54070.14531	1227	44.06694809	59070.14531
0.640399463	38952.35547	4.523343086	98327.50781	0.086230748	58996.50469	98327.50781	58996.50469	53996.50469	1227	44.00693129	58996.50469
0.640457267	38923.22656	4.676305771	98229.42188	0.085003319	58937.65313	98229.42188	58937.65313	53937.65313	1227	43.9589675	58937.65313
0.640515075	38654.62109	4.809075356	98142.84375	0.085798316	58885.70625	98142.84375	58885.70625	53885.70625	1227	43.91663101	58885.70625
