Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Source pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.647097078	51985.01172	2.126677275	98212.69531	0.143870013	58927.61719	98212.69531	58927.61719	53927.61719	1779.15	30.31088845	58927.61719
0.647155006	52800.02344	2.419406176	97980.76563	0.147225975	58788.45938	97980.76563	58788.45938	53788.45938	1779.15	30.23267255	58788.45938
0.647212537	52630.28125	2.697330475	97762.67969	0.148021121	58657.60781	97762.67969	58657.60781	53657.60781	1779.15	30.15912532	58657.60781
0.647270819	53173.6875	2.974658012	97516.36719	0.147754423	58509.82031	97516.36719	58509.82031	53509.82031	1779.15	30.07605897	58509.82031
0.647328238	53832.85547	3.234606504	97302.375	0.148776403	58381.425	97302.375	58381.425	53381.425	1779.15	30.00389231	58381.425
0.647385874	53503.33984	3.478154182	97061.10938	0.148182871	58236.66563	97061.10938	58236.66563	53236.66563	1779.15	29.92252796	58236.66563
0.647444204	54287.94922	3.73197937	96832.48438	0.15003386	58099.49063	96832.48438	58099.49063	53099.49063	1779.15	29.84542654	58099.49063
0.647502305	53967.24219	3.950585365	96635.04688	0.15102792	57981.02813	96635.04688	57981.02813	52981.02813	1779.15	29.77884278	57981.02813
0.647559937	54036.83203	4.16463232	96457.30469	0.150273072	57874.38281	96457.30469	57874.38281	52874.38281	1779.15	29.71890106	57874.38281
0.647617835	53808.41797	4.368746281	96259.22656	0.152699945	57755.53594	96259.22656	57755.53594	52755.53594	1779.15	29.65210125	57755.53594
0.647675757	54177.05078	4.583199501	96019.53906	0.152460088	57611.72344	96019.53906	57611.72344	52611.72344	1779.15	29.57126911	57611.72344
0.647733613	54039.14453	4.770701408	95804.35938	0.151828765	57482.61563	95804.35938	57482.61563	52482.61563	1779.15	29.49870198	57482.61563
0.647791425	54104.57422	4.966413021	95579.5625	0.153551186	57347.7375	95579.5625	57347.7375	52347.7375	1779.15	29.42289155	57347.7375
0.647849318	53817.40625	5.147071362	95401.17188	0.152632632	57240.70313	95401.17188	57240.70313	52240.70313	1779.15	29.36273115	57240.70313
0.647907043	53773.83594	5.316785336	95714.21094	0.153065529	57428.52656	95714.21094	57428.52656	52428.52656	1779.15	29.46830035	57428.52656
0.647965214	53931.80078	5.497300625	97331.84375	0.148328972	58399.10625	97331.84375	58399.10625	53399.10625	1779.15	30.01383034	58399.10625
