Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Source pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.635584654	44855.10156	2.353511095	97197.59375	0.101766076	58318.55625	97197.59375	58318.55625	53318.55625	2331.3	22.87074004	58318.55625
0.635642614	44693.94531	2.72672081	96981.86719	0.101954406	58189.12031	96981.86719	58189.12031	53189.12031	2331.3	22.81521911	58189.12031
0.635700484	44607.125	3.07726717	96759.41406	0.102056913	58055.64844	96759.41406	58055.64844	53055.64844	2331.3	22.75796699	58055.64844
0.635758342	44567.93359	3.321307659	96538.71875	0.102315495	57923.23125	96538.71875	57923.23125	52923.23125	2331.3	22.70116727	57923.23125
0.635816241	44421.57031	3.634056807	96304.8125	0.102492079	57782.8875	96304.8125	57782.8875	52782.8875	2331.3	22.64096749	57782.8875
0.635874095	44502.04297	3.971027851	96131.15625	0.102862494	57678.69375	96131.15625	57678.69375	52678.69375	2331.3	22.59627407	57678.69375
0.635931959	44293.95313	4.285356522	95980.41406	0.102744767	57588.24844	95980.41406	57588.24844	52588.24844	2331.3	22.55747799	57588.24844
0.635989829	44225.89844	4.493288994	95848.07813	0.102910445	57508.84688	95848.07813	57508.84688	52508.84688	2331.3	22.52341907	57508.84688
0.636047641	44085.57031	4.741105557	95759.45313	0.102705764	57455.67188	95759.45313	57455.67188	52455.67188	2331.3	22.50060991	57455.67188
0.636105536	43958.21484	4.965369225	95636.08594	0.102858679	57381.65156	95636.08594	57381.65156	52381.65156	2331.3	22.46885925	57381.65156
